# timestamp[secs] tx ty tz qx qy qz qw
1643091436.096091 17.65079746713204 -3.485966865065316 -124.6178816179294 -0.175556097129758 -0.23310100790399424 0.6777352326518375 -0.6749214260171835
1643091436.195984 17.650277655615763 -3.486894931941543 -124.61803643373135 -0.17546794058272144 -0.23307717534246025 0.6780992341951709 -0.6745868815400736
1643091436.295867 17.652310670273756 -3.480822206393699 -124.61775493718702 -0.1754948875660949 -0.23331385071198815 0.6780941805616781 -0.6745031310472133
1643091436.395782 17.646039437868524 -3.486149975927919 -124.61788741577465 0.1768759457575904 0.23108212036483514 -0.6764046333118944 0.6766038172329886
1643091436.495717 17.651171110511804 -3.4826342865726443 -124.61769648147599 -0.17580947089419768 -0.232911397919981 0.6779496459663417 -0.6747055566667391
1643091436.595801 17.651420224166337 -3.485382784758478 -124.61816974743266 -0.17568679027473136 -0.2331510408497543 0.6778405942658793 -0.6747643089545552
1643091436.695988 17.644300171893587 -3.485792509529539 -124.61831670450171 0.17721813916679152 0.23057752668553977 -0.6760012942023537 0.6770893482950252
1643091436.796103 17.64378267665754 -3.4847153949094904 -124.61752770116809 0.17827313538698147 0.2290616888257515 -0.6761478061303116 0.6771806082403397
1643091436.896057 17.6513911569716 -3.488223939578909 -124.61702199171562 -0.1751339502972704 -0.23354911227602845 0.6779375668028013 -0.6746729334469034
1643091436.995924 17.652447699338797 -3.4812669925359843 -124.61753245401312 -0.17524300447752483 -0.23364512700712853 0.6782170690792488 -0.6743303724563106
1643091437.095913 17.659822479232783 -3.487621779951715 -124.61499627891095 -0.17108539007861465 -0.2384138133740333 0.6770745192728204 -0.6748768319075558
1643091437.195745 17.650977489159736 -3.488968578766144 -124.61816423073323 -0.17580009633508464 -0.23333374285877187 0.6779177539197233 -0.6745941072174652
1643091437.295563 17.65171273536443 -3.48108337405986 -124.6180150899089 -0.1758903198033581 -0.23308298642761638 0.6778846829752422 -0.6746905019525704
1643091437.395402 17.65103610197594 -3.486217025362848 -124.61766437280507 -0.17547375316980426 -0.23408620445798137 0.6777234922889966 -0.6746135774134441
1643091437.495264 17.652192029686084 -3.4803345379676487 -124.61768859234977 -0.17584841716573155 -0.23370390054056506 0.677966622479809 -0.6744042406863652
1643091437.595174 17.659910432986504 -3.483201442305201 -124.61501355369049 -0.1714580386426042 -0.23849373285259232 0.6768401867964399 -0.6749890679946068
